Date,open,high,low,close,volume
01-06-2022,5.964,6.002,5.235,5.349,507369.627
02-06-2022,5.331,5.663,5.155,5.595,368510.44
03-06-2022,5.616,5.65,5.127,5.245,269672.973
04-06-2022,5.245,5.41,5.109,5.322,204650.769
05-06-2022,5.322,5.52,5.202,5.324,178243.617
06-06-2022,5.34,5.769,5.3,5.49,351496.909
07-06-2022,5.49,5.495,5.051,5.196,332596.731
08-06-2022,5.201,5.358,5.061,5.065,232522.778
09-06-2022,5.064,5.22,4.991,5.084,199802.912
10-06-2022,5.084,5.115,4.453,4.497,337721.45
11-06-2022,4.495,4.685,4,4.1,351299.645
12-06-2022,4.102,4.153,3.689,3.696,511744.097
13-06-2022,3.693,3.737,3.09,3.523,849184.151
14-06-2022,3.52,3.692,3.17,3.385,710279.829
15-06-2022,3.383,3.875,3.037,3.816,708548.241
16-06-2022,3.812,3.835,3.131,3.225,555213.838
17-06-2022,3.226,3.503,3.177,3.373,419405.54
18-06-2022,3.377,3.413,2.879,3.096,451576.966
19-06-2022,3.096,3.341,2.975,3.287,439395.338
20-06-2022,3.288,3.571,3.115,3.41,478615.611
21-06-2022,3.408,3.706,3.386,3.517,476929.115
22-06-2022,3.522,3.528,3.266,3.279,411156.937
23-06-2022,3.28,3.585,3.272,3.553,324451.093
24-06-2022,3.556,4.115,3.553,3.991,526895.833
25-06-2022,3.993,4.401,3.934,4.168,579467.915
26-06-2022,4.173,4.334,3.77,3.794,388739.553
27-06-2022,3.791,4.011,3.631,3.738,392870.685
28-06-2022,3.736,3.784,3.387,3.419,437965.973
29-06-2022,3.417,3.56,3.336,3.427,399161.178
30-06-2022,3.43,3.438,3.124,3.34,385600.097
01-07-2022,3.34,3.459,3.233,3.35,373476.274
02-07-2022,3.351,3.428,3.219,3.311,227264.859
03-07-2022,3.314,3.35,3.204,3.321,234054.853
04-07-2022,3.322,3.555,3.211,3.52,293259.08
05-07-2022,3.52,3.593,3.263,3.392,1089455.753
06-07-2022,3.393,3.548,3.313,3.502,1077508.756
07-07-2022,3.502,3.779,3.437,3.703,947228.048
08-07-2022,3.703,3.849,3.489,3.592,1029853.164
09-07-2022,3.587,3.872,3.585,3.794,922603.015
10-07-2022,3.796,3.827,3.5,3.525,780896.185
11-07-2022,3.525,3.536,3.209,3.226,864641.779
12-07-2022,3.224,3.34,3.18,3.192,981285.825
13-07-2022,3.187,3.346,3.038,3.338,1201915.825
14-07-2022,3.338,3.538,3.221,3.492,1330149.495
15-07-2022,3.49,3.638,3.435,3.499,1457963.996
16-07-2022,3.502,3.671,3.372,3.649,1396569.952
17-07-2022,3.645,3.768,3.507,3.522,1457972.287
18-07-2022,3.524,4.116,3.517,4.069,1639635.76
19-07-2022,4.062,4.667,4.012,4.537,1647240.341
20-07-2022,4.539,4.631,4.148,4.183,1628073.409
21-07-2022,4.186,4.498,4.046,4.373,1557029.551
22-07-2022,4.375,4.759,4.283,4.324,1570027.121
23-07-2022,4.32,4.479,4.133,4.31,1462905.026
24-07-2022,4.308,4.494,4.253,4.348,1391168.967
25-07-2022,4.35,4.386,3.783,3.785,1552057.311
26-07-2022,3.788,3.808,3.569,3.756,1553792.194
27-07-2022,3.757,4.16,3.639,4.151,1517132.452
28-07-2022,4.148,4.457,4.034,4.366,1587838.636
29-07-2022,4.371,4.587,4.181,4.369,1608454.47
30-07-2022,4.37,4.691,4.297,4.36,1592207.312
31-07-2022,4.359,4.591,4.214,4.237,1548717.236
01-08-2022,4.232,4.375,4.124,4.277,1507247.734
02-08-2022,4.273,4.46,4.032,4.307,1561525.469
03-08-2022,4.31,4.664,4.158,4.516,1588283.128
04-08-2022,4.517,4.724,4.32,4.424,1115074.355
05-08-2022,4.424,5.282,4.394,5.203,1332099.975
06-08-2022,5.198,5.204,4.881,4.901,760038.126
07-08-2022,4.902,5.192,4.807,4.985,773080.855
08-08-2022,4.981,5.732,4.977,5.49,1169002.473
09-08-2022,5.488,5.61,5.165,5.365,1030257.479
10-08-2022,5.364,6.075,5.177,5.903,1546523.819
11-08-2022,5.907,5.966,5.704,5.757,869948.187
12-08-2022,5.762,6.061,5.631,5.978,875097.439
13-08-2022,5.978,6.1,5.826,5.882,567150.31
14-08-2022,5.888,5.939,5.522,5.611,513527.867
15-08-2022,5.617,5.822,5.296,5.406,741467.923
16-08-2022,5.4,5.522,5.236,5.265,719229.606
17-08-2022,5.266,5.509,4.925,4.985,875739.428
18-08-2022,4.989,5.205,4.825,4.856,652995.924
19-08-2022,4.854,4.941,4.195,4.245,1415925.297
20-08-2022,4.249,4.446,4.018,4.154,1153885.945
21-08-2022,4.151,4.308,4.081,4.226,779269.17
22-08-2022,4.229,4.237,3.928,4.116,1004798.03
23-08-2022,4.12,4.417,4.004,4.307,1048448.163
24-08-2022,4.307,4.402,4.143,4.267,686987.187
25-08-2022,4.271,4.448,4.204,4.314,601737.301
26-08-2022,4.314,4.438,3.889,3.939,1150462.972
27-08-2022,3.937,3.978,3.822,3.917,696881.017
28-08-2022,3.917,3.942,3.74,3.763,579123.91
29-08-2022,3.763,4.057,3.692,4.034,695846.756
30-08-2022,4.032,4.27,3.955,4.199,772617.231
31-08-2022,4.202,4.568,4.189,4.372,806667.969
01-09-2022,4.375,4.431,4.18,4.344,679660.36
02-09-2022,4.347,4.389,4.113,4.177,518354.389
03-09-2022,4.179,4.215,4.121,4.171,235868.03
04-09-2022,4.17,4.252,4.095,4.244,281704.46
05-09-2022,4.24,4.282,4.116,4.232,342497.639
06-09-2022,4.233,4.539,3.959,4.074,866900.309
07-09-2022,4.073,4.428,4.033,4.377,640533.846
08-09-2022,4.376,4.709,4.368,4.691,791601.611
09-09-2022,4.687,4.895,4.617,4.811,624512.737
10-09-2022,4.813,4.908,4.653,4.814,625199.675
11-09-2022,4.815,5.045,4.627,4.897,631470.497
12-09-2022,4.897,5.267,4.709,5.094,922470.585
13-09-2022,5.093,5.096,4.407,4.418,857390.529
14-09-2022,4.418,4.548,4.341,4.51,627689.557
15-09-2022,4.508,4.522,4.128,4.184,553630.607
16-09-2022,4.186,4.251,4.088,4.206,479678.631
17-09-2022,4.206,4.394,4.203,4.379,348261.999
18-09-2022,4.38,4.42,3.822,3.915,485726.952
19-09-2022,3.915,4.081,3.805,4.055,652824.766
20-09-2022,4.053,4.091,3.801,3.821,559876.464
21-09-2022,3.82,4.037,3.545,3.641,663419.816
22-09-2022,3.642,3.901,3.621,3.866,597430.078
23-09-2022,3.865,3.95,3.612,3.791,693075.551
24-09-2022,3.794,3.874,3.667,3.699,384858.595
25-09-2022,3.697,3.77,3.609,3.65,316140.383
26-09-2022,3.647,3.731,3.556,3.686,473571.18
27-09-2022,3.687,3.825,3.549,3.617,629766.365
28-09-2022,3.618,3.645,3.448,3.579,447584.137
29-09-2022,3.578,3.61,3.502,3.587,342542.615
30-09-2022,3.587,3.648,3.512,3.559,399279.866
01-10-2022,3.56,3.599,3.527,3.557,174739.905
02-10-2022,3.555,3.617,3.466,3.48,225673.217
03-10-2022,3.48,3.566,3.409,3.542,326376.777
04-10-2022,3.543,3.652,3.526,3.623,311460.097
05-10-2022,3.621,3.73,3.547,3.698,444315.342
06-10-2022,3.695,3.763,3.583,3.623,383965.908
07-10-2022,3.621,3.629,3.515,3.551,237963.961
08-10-2022,3.552,3.587,3.459,3.494,189465.536
09-10-2022,3.493,3.534,3.478,3.517,136630.141
10-10-2022,3.517,3.549,3.218,3.219,284637.633
11-10-2022,3.217,3.242,3.078,3.171,580493.169
12-10-2022,3.174,3.215,3.121,3.158,326788.163
13-10-2022,3.156,3.16,2.763,3.042,853672.67
14-10-2022,3.043,3.183,2.956,3.008,492756.251
15-10-2022,3.006,3.025,2.904,2.925,260841.796
16-10-2022,2.925,3.038,2.92,3.001,242821.969
17-10-2022,3.002,3.075,2.958,3.059,289257.454
18-10-2022,3.06,3.101,2.896,2.966,406267.729
19-10-2022,2.966,2.974,2.8,2.827,377108.854
20-10-2022,2.827,2.944,2.784,2.87,358853.116
21-10-2022,2.871,2.919,2.726,2.887,388602.55
22-10-2022,2.887,2.946,2.822,2.92,262674.481
23-10-2022,2.92,3.007,2.842,2.982,355075.881
24-10-2022,2.983,3.017,2.874,2.919,408899.967
25-10-2022,2.918,3.086,2.887,3.001,525540.613
26-10-2022,3.003,3.114,2.998,3.055,536278.726
27-10-2022,3.054,3.179,2.933,2.961,611567.013
28-10-2022,2.963,3.066,2.89,3.025,451845.838
